No,제목,작성일,조회,본문
327,NEW PPF 필름 발표와 시공 교육 성료 안내,2016.03.03,7058,"3월2일 오전 10시부터 4시까지 40여명의 루마 전문점 수강생과 본사 관계자가 참석한 가운데 강남구 대치동 루마 틴트아카데미에서 NEW PPF 필름 발표와 시공 교육을 성황리 마쳤습니다. 이날 미국 이스트만 마케팅 Martin Chen 과 기술담당 Danny Wong의 진행으로 6시간 동안 이론, 실기 교육이 있었습니다."
326,루마 에너로직 기술 교육 및 자격시험 인증서 수여식 (2016.02.22),2016.02.23,8038,"루마 에너로직 기술 교육 및 자격시험 인증서 수여식 2016 년 2 월 22 일 ( 월 ) 루마 프라임 대회의실에서 주 ) 씨피에프 루마코리아 임원 ( 이상근 부사장 , 김승양 전무이사 , 김정열이사 )와 에너로직 자격시험 합격자 10 명이 모두 참석한 가운데 “ 에너로직 기술 교육 및 자격시험 인증서 수여식 ” 을 가졌다 . 이날 ( 주 ) 씨피에프 루마코리아 김정열이사의 진행으로 1 부 인증서 수여식과 2 부 영업 전략 회의를 열어 현장에서 얻은 경험을 통해 영업 및 시공 노하우 , 서비스 개선 등 유익한 정보를 공유하는 값진 시간을 가졌다 . 특별히 “ 루마에 가면 ” 광고를 제작한 ( 주 ) 솔트앤파트너스 ( 박천택 대표 ) 와 향후 루마 버텍스 , 루마 건물 필름 광고의 향후 계획에 대해 논의 했다 ."
325,최근 짝퉁 제조업자에 대한 법원 판결문 공시(2015.12),2016.02.02,8353,"최근(2015년 12월)에 국내 대형 필름 유통업체중 한 곳에서 대량의 루마 짝퉁필름을 제조하여 판매한 건에 대해 관할 법원에서 판결이 선고되어 대리점 사장님들께 이를 알리고 또한 짝퉁필름에 대한 대응을 하시도록 법원 판결문을 공시하오니 참고하시길 바랍니다. (본 판결문의 공개는 해당업체의 동의를 구한 것으로 실명 및 업체에 대한 내용은 해당업체의 요청으로 원본에서 삭제하였음을 알려 드립니다.) 해당업체는 관세법과 상표법을 위반한 혐의로 검찰에 의해 기소되어 2015년 12월에 관할법원에서 아래와 같이 판결이 내려졌습니다. 1. 피고인을 징역 1년에 처한다.(다만, 판결 확정일로부터 2년간 위 형의 집행을 유예한다.) 2. 피고인에게 160시간의 사회봉사를 명한다. 현재 검찰에서는 형량이 너무 작다 하여 항고를 한 상태이며, 해당 피고인은 항고심을 기다리고 있는 상태입니다. 본 판결문에서 가장 중요한 부분은 아래와 같습니다.(발췌분) 상표법 위반 (2페이지 하단) 누구든지 타인의 등록상표와 유사한 상표를 그 지정상품과 동일 또는 유사한 상품에 사용하여서는 아니된다. -> 지정상품과 동일한 상품은 병행필름(정품)을 의미하며 유사한 상품은 짝퉁필름을 의미합니다. 즉, 짝퉁은 물론 병행수입된 정품이라 할지라도 해당필름에 루마 로고를 프린트하는 행위는 상표법 위반에 해당한다는 것입니다. (3페이지 위에서 7째줄 내용) 타인의 등록상표와 유사한 상표를 그 지정상품과 동일 또는 유사한 상품에 사용하여 상표권자의 상표권을 침해하였다. -> 필름 원단 및 이면지에 루마 로고를 프린트하는 행위는 물론 루마 박스나 루마 라벨을 제조하는 행위 또한 상표법 위반에 해당된다는 것입니다. 쟁점에 대한 판단(4페이지 위에서 7째줄) 1. 이른바 병행수입이 상표권 침해가 되지 않는 경우는 외국의 상표권자 또는 정당한 사용권자가 상표를 부착한 상품을 수입하는 것을 전제로 한다. 따라서 이 사건과 같이 피고인이 상표가 부착되어 있지 않은 상품을 수입한 뒤 임의로 상표를 제작.부착하는 것은 병행수입으로서 보호될 여지가 없다. -> 본사(씨피에프)와 같이 상표권자(루마 미국본사)로부터 상표 사용을 정당하게 허가받지 않은 업체가 루마 로고를 포함 루마 상표를 사용할 경우(로고 프린팅,박스및 라벨 제작) 그 필름이 아무리 병행수입된 정품이라 할지라도 상표법에 접촉된다는 것입니다. 대리점에서는 짝퉁대응시 앞으로 본 판결문을 잘 활용하시길 바라오며, 주변에 출처가 불분명한 루마필름을 사용하는 썬팅매장을 발견시 상표법에 저촉되는 필름을 시공하는 것 또한 법적인 문제가 발생할 수 있음을 해당 점주에게 주지시켜 그러한 필름을 사용하지 못 하도록 하시길 바랍니다. 가격이 저렴하다는 이유로 정품여부를 확인하지도 않고 구입후 버젓이 시공하는, 도덕적 의식이 결여되었거나 상표법에 대해서 무지한 썬팅 시공업자들이 주변에 상당수 있을 것으로 사료되오니 이 점 양지하여 향후 매장운영에 본 내용을 잘 활용하여 주시길 바랍니다. 본사에서는 현재 재판중인 수 건의 루마필름 짝퉁사건에 대하여 해당 피의자들에 대해서 형사소송뿐만 아니라 루마 본사인 이스트만과 공동으로 대응하여 민사소송까지 진행할 예정으로 이러한 업자들이 응분의 법적인 책임을 지도록 끝까지 처리할 것이며 향후 발생할 수 있는 짝퉁사건에 대해서도 끝까지 법적인 대응을 하여 루마 짝퉁필름의 불법제작이 이루어지지 않는 날이 올 때까지 본사의 역할을 다할 예정입니다."
324,루마썬팅 sns 페이스북 이벤트 진행합니다.,2016.01.29,7850,"루마썬팅 페이스북 2 월 구정 이벤트 “ 명절 고민 힐링 프로젝트 ” 와우 ~ 2 월 6 일 ( 토 ) 부터 10( 수 ) 까지 이번 구정 연휴는 길고 여유롭게 보낼 수 있게 되었습니다 . 그러나 여행이나 휴가처럼 배낭 메고 놀러 다니지는 못하니 ...... 벌써 걱정입니다 . 고향 가는 길은 꽉꽉 막히고 고향 엄마 친구들과 비교 당할 생각 , 결혼 , 취업 , 잔소리 .... 명절 음식 만들고 치우고 ....... 이제 슬슬 두려움과 공포가 엄습해 옵니다 . 각자의 고통 . 가슴으로 공감합니다 . 함께 나눕시다 . “ 각자의 명절고민 ” 댓글에 올려 주세요 . 루마가 웃게 해드릴께요 ~ 나와 내 차가 힐링 되는 루마 페이스북 이벤트 - “ 좋아요 ” 클릭 후 많은 참여와 댓글 부탁드립니다 . 기간 1 월 29 일 ( 금 ) 부터 2 월 21 일 ( 일 ) 발표 2 월 22 일 (월 ) 1 등 루마 썬팅 최상위 제품 - 루마 버텍스 전면 ( 앞유리 ) 시공권 1 매 2 등 나와 내 차의 변호사 - 2 채널 LCD 블랙박스 2 명 3 등 내 차를 레이싱카로 ! - 메카텍 최고급 100% 합성 엔진오일 (4L) 3 명 4 등 내 차를 더욱 청결하고 고급지게 - 루마 로이드 고급 코일 매트 3 명 5 등 여유있는 나만의 티타임 (teatime) - 파 * 바게트 카페 아다지오 20 명 https://www.facebook.com/llumarsns"
323,"(주)씨피에프 루마코리아 김우화대표 ""2015 YTN 마케팅 혁신 CEO 대상"" 수상",2016.01.27,8897,"(주)씨피에프 루마코리아 김우화대표 ""2015 YTN 마케팅 혁신 CEO 대상"" 수상 YTN 조준희 사장 '2015 YTN 마케팅혁신 CEO 대상' 수상자로 (주)씨피에프 루마코리아 김우화 대표 등 CEO 10명에게 혁신적인 마케팅과 브랜드 가치를 높인 공로로 마케팅 혁신CEO 대상을 수상했다. 이 날 대상을 받은 (주)씨피에프 루마코리아 김우화 대표는 ""나는 어떻게 1등 브랜드를 만들었는가"" 의 저서 출간으로 수십년의 실전 경험을 기록한  베스트셀러로 공격적이고 체계적인 마케팅 전략을 제시하였다. 국내 1위의 자동차 썬팅 브랜드 ""루마썬팅""을 만들어 냈으며 ""미오림복지"" 재단을 설립해 나눔과 봉사의 삶을 살고 있다. 행사는 YTN은 1월 26일 서울 상암동 YTN뉴스퀘어 7층 대회의실에서 열렸다. 기업 대상을 받은 기업인은 (주)씨피에프 루마코리아 김우화 대표와 김동근 코리아드라이브 사장, 김용우 더존비즈온 회장, 남종현 주식회사 그래미 회장, 박문영 문영종합개발 회장, 박정환 주식회사 SJ그룹 회장, 박헌준 프리드라이프 회장, 이건영 주식회사 복정제형 회장, 최호식 호식이두마리치킨 회장, 황하은 부모사랑 주식회사 사장 등 10명이다. 이어 조준희 YTN 사장은 브랜드의 홍수 속에서 최고의 ‘리딩 브랜드’로 키워 나가기는 매우 어렵다면서 수상자들이 보여준 마케팅 과정과 성과는 배워야할 좋은 본보기가 된다고 말했다."
322,"루마 건물용 필름 EnerLogic 필름 교육 성료 안내(2016-01-20,21)",2016.01.22,8734,"1월20,21일 오전 10:30분부터 4시까지  루마 건물용 필름 EnerLogic 필름 시공 기술 교육과 ""시공 자격 시험""을 성황리에 마쳤습니다. 이날 루마 코리아 본사와 미국 이스트만  기술담당 Danny Wong의 진행으로 이틀 동안 이론, 실기, 자격 시험이 있었습니다. 11명 응시하여 9명이 합격하여 뛰어난 기술력을 인정 받았습니다. 합격자는 미국 이스트만 본사에  ""루마 건물용 필름 EnerLogic"" 의 전문 시공 기능자로 등록되며 이스트만 공식 홈페이지에서 확인하실 수 있습니다."
321,"루마썬팅 천안종합운동장점 '타사 고가 필름 제거 후 버텍스 시공 후기""",2016.01.19,7811,타사브랜드의 고가 필름이 붙어있더라구요... 영업사원들은 왜 끝까지 썬팅을 해주는 걸까요...? 하지말라고 했는데 해왔다고 합니다... 몇 달을 타다보니 시인성이 많이 떨어져 잘 안보인다고 재시공을 요청하셨네요... 제가봐도 차주분 맘에 안들게 작업이 되있을뿐더러 시인성도 많이 떨어졌습니다 매장에 오시는 손님들께서 다들 한마디씩 하시더라고요... 멀쩡한 필름을 왜 떼어내냐고...ㅋㅋ 대부분의 고객님들은 색만 들어가 있으면 썬팅이 다인줄 아시는 분들이 많지만 썬팅의 가장 기본은 시인성이라고 말씀드리고 싶네요~ http://cafe.daum.net/SUN-Tinting/V5D0/44
320,축! “EQ-900시공 시리즈” 당선 (수원 영통점- 전찬식 대표),2016.01.18,6516,"축! “EQ-900시공 시리즈” 당선 (수원 영통점- 전찬식 대표) 초대형 세단시장에 돌풍을 일으키고 있는 현대 제네시스 브랜드의 탄생과 “EQ-900”라는 고품격 자동차가 얼마 전 출시되었습니다. EQ-900은 국내는 물론 해외 럭셔리 브랜드에 정면 도전장을 내놓은 현대 자동차의 야심작이기도하죠. 국내 초대형 럭셔리 세단인 만큼 ""루마 버텍스""가 어울리는 차량입니다. 그래서 말입니다. 루마 코리아 본사는 한달 전 전국 루마 전문점을 상대로 EQ-900을 루마 버텍스로 전체(full) 시공하는 업체에게 대규모의 홍보 지원과 경품을 걸고 이벤트를 진행했습니다. 결과는 “프리미엄 판교점” 과 “루마썬팅 수원 영통점”이 최종 선발되어 “EQ-900시공 시리즈”를 보여 드리게 되었습니다. 이번주는 “수원 영통점- 전찬식 대표 ”의 시공 사진을 보여 드리겠습니다."
319,"축! “EQ900시공 시리즈” 당선 (프리미엄 판교점, 수원 영통점)",2016.01.14,7225,"축 ! “EQ900 시공 시리즈 ” 당선 ( 프리미엄 판교점 , 수원 영통점 ) 초대형 세단시장에 돌풍을 일으키고 있는 현대 제네시스 브랜드의 탄생과 “EQ900” 라는 고품격 자동차가 얼마 전 출시되었습니다 . EQ900 은 국내는 물론 해외 럭셔리 브랜드에 정면 도전장을 내놓은 현대 자동차의 야심작이기도하죠 . 국내 초대형 럭셔리 세단인 만큼 "" 루마 버텍스 "" 가 어울리는 차량입니다 . 그래서 말입니다 . 루마 코리아 본사는 한달 전 전국 루마 전문점을 상대로 EQ900 을 루마 버텍스로 전체 (full) 시공하는 업체에게 대규모의 홍보 지원과 경품을 걸고 이벤트를 진행했습니다 . 결과는 “ 프리미엄 판교점 ” 과 “ 루마썬팅 수원 영통점 ” 이 최종 선발되어 “EQ900 시공 시리즈 ” 를 보여 드리게 되었습니다 . 이번주는 “ 프리미엄 판교점 ” 의 시공 사진을 보여 드리겠습니다 . 프리미엄 판교점 김영구 대표님 축하드립니다."
318,루마 건물용필름 아파트시장에 본격 진출!,2016.01.13,6530,"루마 건물용필름 아파트시장에 본격 진출! 마산 산호동에 세워진 베스티움 아파트(3개동 총 302세대)에 루마의 매스티지 건물용 필름인 N1040으로 시공되어 다음과 같은 효과를 얻게 되었습니다. 1. 에너지 절감(전기료 절약) 및 온실가스 배출저감 2. 자외선 차단(거주자의 피부 보호 및 내부 가구및 바닥등 내장재의 변색 방지) 3. 과도한 햇빛 눈부심을 80% 이상 차단하여 쾌적한 주거공간을 제공함 4. 외부 시선으로부터 프라이버시 보호(근접해 있는 맞은 편 아파트동으로부터 시선차단) 5. 아파트의 외관 증대(미려한 뉴트럴 컬러로 아파트의 고급스러움을 한층 돋보이게 해 줍니다.) 6. 돌풍, 태풍등으로 인한 유리파손으로 인한 재산 및 인명 보호 (필름의 강력한 인장력으로 유리는 깨져도 파편이 비산되지 않음) 작년에만 N 시리즈(N1020/N1040)는 전국적으로 3,000세대가 넘는 아파트에 시공되어 고객들의 호평을 받고 있습니다. 기존 저가형필름들이 수년내에 탈색이나 변형등으로 투자대비 효과를 얻지 못하는 반면에 루마 건물용 필름은 초기투자비에 대한 확실한 회수와 남다른 내구성으로 인하여 아파트는 물론 상업용빌딩등 주거용, 비주거용 건물에 대한 시공영역을 확대해 나가고 있습니다."
317,"세상을 바꾸는 기적, 맹견에게서 시민을 구한 김민수(루마썬팅 아산용화점) 위기탈출 넘버원 방송-2016-1-11",2016.01.12,7247,얼마전 유기견으로부터 공격받고 있던 초등학교 어린이를 구조하고 “올해의 시민 영웅상”을 수상한 루마 썬팅 아산 용화점 김민수 대표님 소식을 알려드렸습니다. 2016년1월11일 KBS2 “위기탈출 넘버원”에서 방송되었습니다. 그 때 일로 부상을 입었지만 이런 위험한 일이 다시 생기면 구조하겠다는 김민수 대표님의 용감하고 따뜻한 마음이 전달되되었습니다. 계속 추워지는 겨울 한가운데 주위의 어려운 이웃을 돌아보는 가슴 따뜻한 루마 가족이 되시기를 바랍니다. 영상은 아래 링크를 클릭하세요 http://tvpot.daum.net/mypot/View.do?playlistid=6211574&clipid=73698414
316,루마 시공점을 가다 ~ “프리미엄 금촌 중앙점 (최 인숙 대표)”,2016.01.05,7766,"자동차 틴팅은 같은 제품이라 해도 작업자의 시공 기술에 따라 완성도가 완전히 달라진다 . 오랜 기간의 노하우와 손기술이 접목된 종합 예술이라고 말하는 이도 있다 . 국내 틴팅 기술자들은 대부분 남성이 주류를 차지하고 있다 . 필자도 많은 틴터를 만나봤지만 거의 남성 이였다 . 그러나 루마 썬팅 프리미엄 금촌 중앙점 최인숙 대표는 여성 틴터이다 . 시공 전 고객들과의 상담을 통해 고객들에게 접합한 제품을 추천하고 직접 시공한다 . 꼼꼼하고 정확한 시공과 고객들과의 친화적인 성격 덕에 한달 50 대의 차량을 작업하는 베테랑 틴터이다 . 프리미엄 금촌 중앙점은 기존 루마 전문점에서 대대적인 내부 공사와 간판을 교체하여 2015 년 12 월 루마 썬팅 프리미엄점으로 정식 오픈하여 최상의 시공 기술과 서비스로 고객을 맞고 있다 . 이에 루마 홍보부가 방문하여 인터뷰 하였다 . 프리미엄 금촌 중앙점은 경기 파주시 중앙로 213 에 위치한 금촌 제 1 광장 교차로에서 한눈에 보이는 좋은 위치에 자리 잡고 있었다 . 기자 : 안녕하세요 대표님 ~ 최인숙 대표 ( 이하 최 대표 ) : 추운 날씨에 고생이 많으시네요 , 어서 오세요 기자 : 썬팅을 하신지는 얼마나 되셨나요 ? 최 대표 : 썬팅 기술을 배우고 루마 매장을 처음으로 시작하여 5 년 정도 되었습니다 . 기자 : 매장이 넓고 깨끗합니다 . 최 대표 : 매장은 100 평정도 됩니다 . 매장 안에 고객 휴게실과 동시에 4~5 대의 차량 입고 가능한 공간과 뒤편에 넓은 주차장을 갖추었습니다 . 프리미엄점에 맞는 리모델링 공사를 12 월 19 일 금요일에 마쳤습니다 . 기자 : 하루에 몇 대 정도 작업하십니까 ? 최 대표 : 시즌 2 로는 한 달에 50 대 작업합니다 . 하루에 2 대 작업하는 것 같습니다 . 썬팅하고 블랙박스 , 네비 작업까지 하니 저와 직원 2 명이 바쁜 시간을 보내고 있죠 . 요즘은 고객님들이 저렴한 제품도 찾으시지만 전면 ( 앞유리 ) 는 꼭 루마 시즌 2 제품으로 문의하시어 작업해 드리고 있습니다 . 기자 : 대표님만의 영업 노하우가 있으시다면 ? 최 대표 : 시공하기 전 고객님께 썬팅의 필요성과 루마 필름의 기능성을 차근차근 설명해 드리고 있습니다 . 이렇게 자세히 설명해 드려도 처음에는 반신반의 ( 半信半疑 ) 하시지만 시간이 지나 루마의 기능성을 체험하시고 지인들에게 소개를 해주십니다. 기자 : 많은 작업을 하시다보면 AS 가 생길 수 있는데 어떻게 대처하십니까 ? 최 대표 : AS 가 발생하는 일은 거의 없습니다 . 저 자신도 완벽한 작업을 위해 하나하나 꼼꼼하게 체크하고 까다롭게 작업하고 있고 직원들에게도 완성도를 위해 엄격하게 관리하고 있습니다 . 간혹 불만족스럽다 하시는 고객님이 계시면 만족하실 때까지 재작업을 해드리고 있습니다 . 기자 : 작업을 하시면서 보람을 느끼시는 경우는 언제입니까 ? 최 대표 : 고객님께서 시공에 만족해하시고 “ 감사합니다 . 다른분께 소개해 드릴께요 ” 하실 때 보람을 느낍니다 . 기자 : 마지막 질문입니다 . 프리미엄점을 하면서 각오가 있으시다면 ? 최 대표 : 프리미엄점에 어울리게 하나부터 열까지 세심하게 고객들의 입장에서 생각하고 만족을 드릴 수 있는 서비스를 이루도록 노력하겠습니다 ."
NOTICE,[공지] 루마버텍스는 미국 제조원의 정식제품입니다,2022.10.31,12990,"썬팅업계와 일부 커뮤니티 에서 루마 버텍스 제품은 한국과 중국에서 제조된 제품이고 한국에서 별도로 만든 제품이라는 잘못된 정보를 전달하고 있어서 바로잡으려고 공지합니다 . 루마 버텍스는 미국 제조원에서 직접 생산하는 루마 브랜드의 프리미엄 윈도 틴팅 필름입니다. 버텍스(VERTEX)는 미국 제조원에서 한국특허청(등록번호 4500446820000) 에 등록한 정식 상표입니다 . 일부에서 나도는 루마 버텍스 제품에 대한 가짜 정보와 달리, 루마 버텍스는 미국 버지니아에 있는 제조공장에서 완제품을 생산한 오리지널 제품을 국내에 들어오고 있으며 , 제조원으로부터 엄격히 관리됩니다. 국내에는 썬팅브랜드가 100여개나 된다고 합니다. 이중에서 대부분이 제조원이 아닌 편집, 하우스 브랜드입니다. 즉, 기성제품을 편집, 다시 브랜드화한 브랜드라는 의미입니다. 하우스 브랜드의 특징은 제품의 출처를 밝히지 않을 뿐만아니라 국내 제품임에도 독일, 유럽, 미국 제조라는 애매한 문구를 집어넣어 원산지를 알 수 없게 만듭니다. 특히, 외국 브랜드라 하더라도 라이센스 피만 주고 국내제품을 도입한 사례도 있고, 국내 제품을 사용하면서 미국제품처럼 원산지를 호도하는 브랜드도 있습니다. 그런 점에서 볼 때 루마 브랜드는 오리지널 미국 제조원 제품을 그대로 들여와서 국내 고객들에게 공급하고 있기 때문에 원산지 및 출처가 확실한 제조원 제품으로 가장 신뢰할 수 있는 브랜드로 자리매김하고 있습니다. 루마브랜드는 1993년부터 근 30여년 동안 국내 영업을 지속하면서 많은 고객으로부터 사랑을 받고 있으며, 썬팅시장을 선도하며 한국 썬팅시장의 역사로 자리매김하고 있습니다. 루마썬팅은 앞으로도 신뢰받는 품질과 서비스 제공을 위해 더욱 노력하겠습니다. 대한민국특허청 상표등록원부 국내입고"
NOTICE,[공지]루마 코리아 정식유통 제품의 시공 및 불법 유통제품 주의에 대한 안내문,2022.03.18,15789,"루마 공식 인증점 및 루마 고객님들께 안내 말씀을드립니다 . 최근에 루마 공식 인증점이 아닌 시공업체에서 루마 코리아를 통해 정식으로 유통되지 않은 불법 유통 제품으로 시공이 이루어진 후, 그 업체에서 본사 보증 포맷과 유사한 형태로  자체 품질보증서를 발행해주는 사례가 포착되고 있습니다 . 이로 인해 루마 코리아의 정식 보증서비스를 제공받지 못하거나 , A/S 거부, 업체 폐업 등으로 인한 고객 피해가 발생하고 있습니다 . 아울러 루마 코리아 홈페이지내 보증조회 가 되지 않는 비공식적인 품질보증서에 대해서는 보증을 하지 않음을 안내해 드립니다 . 모든 루마 버텍스 필름은 루마 코리아의 인증업체를 통해서만 고객분들께 시공되며 , 루마 코리아 인증 공식업체 리스트 는 루마 코리아의 홈페이지를 통해 고객님들께 안내해 드리고 있습니다 . 루마 코리아 공식 인증점에서 시공 받으시는 루마버텍스 제품은 시공 후 루마 코리아 본사 홈페이지를 통해 품질보증서 ( 디지털 보증 ) 를 발행하여 고객에게 제공하며 , 루마 코리아 홈페이지의 보증조회 서비스를 통해 확인이 가능합니다 . 따라서 루마 버텍스 제품에 대한 정식 품질보증서를 받으셨더라도 루마코리아 홈페이지 및 본사 통합 전산자료를 통해 조회가 불가한 품질보증서에 대해서는 어떠한 보증 서비스도 제공하지 않습니다 . 루마 코리아는 어떠한 경우에도 불법 유통을 용납하지 않으며, 오로지 정품 필름만을 취급 / 유통하고 정식 품질보증서 발급을 통해 공식 인증점 및 소비자의 권익을 지키는데 앞장서고 있습니다 . 루마 코리아는 앞으로도 공식 인증점과 루마를 사랑하는 소비자의 권익을 지켜 나가기 위해 불법 유통 시공 및 비정상적인 품질보증서 발행에 대해 보다 철저한 관리와 감독을 실행할 예정이며 , 불법으로 유통되고 있는 제품에 대한 다양한 법적 제재를 강구할 방침입니다 . 루마 품질보증서 조회 바로가기 http://www.llumar.co.kr/sub_support/original.php 루마 공식 인증업체 확인 바로가기 http://www.llumar.co.kr/sub_branch/automotive_list.php 루마 코리아 고객지원팀 배상"
315,2016년 새해에 인사 드립니다.,2015.12.31,6381,
314,겨울철 썬팅 관리 요령,2015.12.28,7011,"이제 본격적으로 추운 겨울이 시작 되었는데요. 계속 기온이 더 떨어질 예정이랍니다. ""겨울철 썬팅관리""와 관련된 정보 하나 알려드리겠습니다. 첫번째, 추운상황에 주차하기 전에 유리에 습기가 없는 상태로 만들어주시는것이 중요합니다. 그러기 위해서는 주차하기 최소 10~15분전부터 히터와 에어컨을 동시에 틀어주시면 좋습니다. 에어컨의 제습효과가 필름의 습기를 제거해주기 때문입니다. 두번째, 밤새 너무 추웠다면 아침에 차를 타자마자 창문을 내리지 않는것이 중요합니다. 왜냐하면 만약 유리하단이 얼어있는 상태일때 필름이 얼음과 동시에 탈거될수 있기 때문입니다. 역시 이때도 히터와 에어컨을 동시에 틀어 유리의 습기를 최대한 제거한 뒤 창문을 내리시는것이 좋아요~ 겨울이 되면 본사에 ""썬팅지 벗겨짐""으로 AS요청건 이 많이 접수 됩니다. 그러나 이 부분은 AS제외 대상 으로 고객님께서 부담이 커지는 일이 발생하오니 주의 부탁 드립니다."
313,KPGA 한국프로 골프협회 사랑의 기금 전달식 소식 (2015년12월23일),2015.12.24,7158,"""2015년 KPGA 한국프로골프협회 사랑의 기금 전달식"" 이 12월23일 경북 문경에 위치한 (사)미오림 복재 재단에서 열렸다. 이날 문축복 프로 ( 한국프로골프협회 시니어회장), 권오철( 한국프로골프협회 경기위원장), 직원과 이순례 미오림 복지 재단 상임 이사와 직원이 참석한 가운데 (주)씨피에프 루마 코리아 김승양 전무의 격려사로 전달식을 가졌다 ."
312,썬팅 고객 피해사례 (루마버텍스로 재시공함),2015.12.15,8016,"어제 (12 월 14 일 ) 루마 서초점에 입고된 고객님의 차량 모습 입니다 . 랜드로버 레인지로버 차량으로써 차량 가격이 1 억원이 훨씬 넘는 고가의 차량인데 1 년전 차 출고시 딜러가 유명브랜드 제품으로 시공해 준다고 하고 국산 저가필름으로 시공한 사례입니다 . 더군다나 운전석과 조수석 측면은 고객에게 얘기도 하지 않고 두 겹으로 시공하여 낮에도 운전에 지장을 줄 정도였습니다 . 어제처럼 흐린 날 , 비오는 날은 물론 야간운전을 어떻게 하셨나 싶을 정도로 차안에서 밖을 볼 때 너무 어둡게 느껴집니다 . 차량 가격을 떠나 썬팅 서비스는 운전자의 안전에 직결된 사항이고 상품의 일종일진대 이처럼 고객을 기만한 딜러에게 화가 날 정도입니다 . 마지막 사진은 루마 버텍스로 시공한 사진입니다 . 보세요 확 ! 밝아졌죠 ^^ 차량 구입시에는 그저 딜러에게만 썬팅을 맡기지 말고 시공필름과 시공점등을 꼼꼼히 체크하셔야 할 이유입니다 ."
311,(주)씨피에프 루마코리아 인사발령 소식,2015.12.09,7241,이성규  전 ( 前 ) 서울 경찰청장께서 2015년 12월1일자로 당사의 고문으로 취임 하셨습니다.
310,루마 부산/울산/경남(부울경) 협의회 모임 성료 안내,2015.12.03,7178,"이제 한 해를 마무리하는 12월 첫 날 루마 부산/울산/경남(부울경) 협의회 모임이 저녁7시부터 10시까지 부산  해운대에 위치한 센텀호텔 연회장에서 열렸습니다. 2015년 한 해를 결산하고 다가오는 2016년에 대한  새로운 다짐을 하는 자리로써 90 여점의 루마대리점 대표가 참석한 가운데 1부 만찬에 이어 2부 순서에서 루마 부산울산경남 조해식대표의 환영인사, 금융및 세금관련 전문가 초빙교육, 본사 김승양 전무와 김정열이사의  신년사업 설명회,  지부장  임명장  수여식, 현황보고등으로 이어진 3시간여동안 좋은 분위기가운데 실제 매장운영에 도움이 되는 실무교육 등이 어우러져 더욱  뜻깊은 시간 들이 되었습니다. 특히 마지막 순서에서 2016년 새해 루마 다이어리를 받은 대리점 대표들은 새해에 대한 활기찬 희망을 품고 돌아가는 모습들이었습니다. 2016년에도 루마 부산/울산/경남 모든 대리점들의 건승과 발전을 기원합니다. 루마 부울경 협의회 화이팅!!!"
309,루마 용인 구성점(최하섭 대표) 에 다녀왔습니다.,2015.12.02,7787,루마 홈페이지에 검색하면 가까운 루마 전문점을 쉽게 찾을 수 있습니다 . 그러나 홈페이지를 검색하지 않고 루마 마크만 보고 일반 매장에서 시공하여 낭패를 보는 분들을 종종 볼 수 있습니다 . 루마 코리아에 인증된 대리점에서 시공했을 때에만 제품 확인 및 AS 를 받을 수있기 때문입니다 . 루마 코리아는 고객님들의 피해를 줄이고자 신형 박스 디자인을 도입하고 필름에는 QR 마크를 인쇄하고 전문점 시스템을 운영 중에 있습니다 . 가까운 시공점에 방문하실 때에는 꼭 루마 전문점을 확인하시고 방문 부탁드립니다 . 루마 코리아는 2016 년형 루마 코리아 간판을 디자인하고 신규점 및 간판 교체점을 중심으로 새로운 디자인을 적용하고 있습니다 . 오늘 찾아간 곳은 오래된 간판을 깨끗이 교체하고 2016 년형 간판을 처음 시공한 루마썬팅 “ 용인 구성점 최하섭대표 ” ( 이하 최대표 ) 방문하였습니다 . 기자 : 최하섭대표님 안녕하세요 최대표 : 예 안녕하세요 기자 : 간판이 예쁘게 잘 나왔습니다 . 최대표 : 기존의 간판이 너무 낡아서 11 월 초에 160 만원 가량 투자하여 교체했습니다 . 기자 : 매장을 몇 번 지나칠 때 봤는데 많이 낡아보이던데 루마 전문점을 하신지는 얼마나 되셨습니까 ? 최대표 : 매장을 오픈한지 4 년 가량 되었습니다 . 판교 궁내점 ” 김일수 대표님께 기술을 배우고 이곳에 처음 자 리를 잡았습니다 . 기자 : 썬팅 명장 김일수 대표에게 배우셨다니 대단하십니다 . 그러면 썬팅 실력은 따로 여쭈지 않아도 될거 같은데요 하루에 작업은 몇 대나 하시는지요 ? 최대표 : 하루에 2~3 대 가량 작업합니다 . 길건너에 대형 마크가 몇 개 있고 고속도로 진입로가 가까이 있어 이동 인구가 많고 요즘 광고에 루마가 많이 나와 많이 찾아오시고 상담해 드리고 있습니다 . 기자 : 앞으로 계획이 있으시다면 ? 최대표 : 지금은 썬팅외에 블랙박스 설치를 하고 있습니다 . 여유가 된다면 네비매립이라든지 다른 기술을 더 배우고 싶습니다 . 기자 : 바쁘신데 시간내주셔서 감사합니다 .
