No,제목,작성일,조회,본문
NOTICE,[인터뷰기사] 문화일보 골프와 나에 소개된 루마코리아 김우화 대표이사,2018.01.23,8682,"문화일보, 스포츠 - 골프와 나에 소개된 루마코리아 김우화 대표이사 ‘ 선팅 神話 ’ 처럼 5 년만에 언더파 … “ 빈스윙 체크가 실력향상 비결 ” 건강 위해 30 代 초반 골프 시작 독학 1 년여 만에 70 대 打 진입 홀인원 지금까지 4 차례나 경험 KPGA 시니어투어 5 년 후원도 자동차 선팅에 첫 브랜드 도입 연 15 만대 … 27 년간 정상 유지 私財 로 복지재단 15 년째 운영 “ 골프도 일도 똑소리 나야 정상 ” ‘ 루마썬팅 ’ 신화를 일군 김우화 (71) 씨피에프 루마코리아 ㈜ 회장은 마케팅 전도사다 . 2015 년 펴낸 저서 ‘ 나는 어떻게 1 등 브랜드를 만들었는가 ’ 를 통해 “ 개성상인들이 장사는 잘했지만 , 삼성전자나 현대자동차가 될 수 없었던 것은 장사와 마케팅의 차이에서 찾을 수 있다 ” 며 장사하지 말고 마케팅하라는 메시지를 전달하고 있다 . 김 회장은 최근 경기 하남시에 새 사옥을 마련하고 제 2 의 도약을 선언했다 . 새 사옥은 서울 강동구 올림픽공원과 하남시 초입의 외부순환도로 진입로를 지척에 두고 있다 . 지난 6 일 새 사옥 집무실에서 만난 김 회장은 “ 매년 신년은 경북 문경의 미오림 복지재단에서 시작한다 ” 고 귀띔했다 . 신년 사업 구상 발표와 함께 전국 9 개 루마 총판이 마련한 ‘ 사랑의 기금 ’ 전달식 , 그리고 복지재단 시설 견학을 진행했다 . 미오림 복지재단은 김 회장이 나눔을 실천하기 위해 2003 년 9 월 사재를 털어 설립했다 . 김 회장은 노인들을 위한 안락한 요양시설 , 사회 적응이 어려운 장애인을 위한 사회복지사업을 15 년째 펼치고 있다 . 김 회장의 골프 구력은 40 년 가까이 된다 . 김 회장은 삼성전자에 재직하던 1980 년 골프채를 처음 잡았다 . 비즈니스가 아닌 몸 관리를 위해서 골프에 입문했다 . 30 대 초반부터 건강에 신경 쓴 건 1973 년 수술 때문 . 병원에서 쓸개에 이상이 생겼다는 진단을 받았다 . 발병 원인도 몰랐다 . 담석이 생긴 것도 아닌데 구멍이 났고 검사를 해도 뚜렷한 원인을 알 수 없었던 것 . 김 회장은 “ 병명을 찾아내기 힘들었던 시절이었는데 , 참 운이 좋았다 ” 고 말했다 . 김 회장이 해온 모든 일이 그렇듯이 골프 역시 똑소리가 났다 . 골프 구력 5 년이 안 돼 4 언더파 68 타라는 놀라운 스코어를 남겼다 . 실력이 아깝다며 클럽챔피언전이나 아마고수대회에 참가하라는 권유를 많이 받았지만 다 뿌리쳤다 . 김 회장은 “ 골프는 건강을 위해서 하는 운동 ” 이라며 “ 딴생각을 하게 되면 건강에 도움이 되는 운동이 아닌 도구가 된다 ” 고 설명했다 . 원문보러가기 http://sports.news.naver.com/golf/news/read.nhn?oid=021&aid=0002339775"
47,루마PPF필름...자동차 흠집 방지 필름 소개(2016 서울오토살롱),2016.07.14,6894,YTN에 소개된 루마 PPF필름 영상입니다. 2016 서울오토살롱에 전시참가한 루마썬팅의 자동차페인트프로텍션 PPF필름에 관한 내용이 보도되었습니다. 바로가기 링크하시면 보도내용이 연결됩니다. 5천억 튜닝시장 ... 흠집막고 스마트기기 연동해 쓴다
46,"글로벌 자동차썬팅 1위 브랜드 루마썬팅, 2016 서울오토살롱 터줏대감",2016.07.08,6783,"[2016 서울오토살롱 ] 오토살롱
터줏대감 루마썬팅 , "" 튜닝 산업 아직 걸음마 단계 "" 관련기사 바로가기 [아시아경제신문] 7 일 자동차 썬팅 필름 제조업체 루마코리아가 서울시 삼성동 코엑스에서
열린 2016 서울오토살롱에 참가해 튜닝 산업의 방향을 제시했다 . 이날 김승양 루마코리아 전무이사는 “ 국토교통부와 산업통상자원부에 흩어져
있는 튜닝 관련 협회를 통합해서 아직까지 걸음마 단계인 튜닝 산업을 활성화할 필요가 있다 ” 고 말했다 . 루마썬팅은 미국의 화학업체 이스트만 (EASTMAN) 사의 윈도우 필름
브랜드로 , 차량 선팅필름 분야에서 세계 점유율 1 위를 차지하고
있다 . 한국에는 2002 년 12 월 시공 1 호점을 런칭한 후 현재는 전국 480 여개 , 서울 120 여개의 대리점을 운영하고있다 . 2014 년부터는 건물 선팅 필름도 생산하고 있다 . 이번 전시회에서도 15 개의 부스에서 건물선팅 제품을 전시했다 . 풍성한 체험 이벤트도 준비돼 있다 . 자동차부스에서는 전시기간 내내
람보르기니 , 포르쉐 등 자동차와 사진을 찍을 수 있는 포토타임이 진행된다 . 9 일 오후에는 루마필름 · 드레스 패션쇼 , 플래시몹 콘서트 , 성악 공연이 열린다 . 이어 10 일 오후에는 레이싱복 패션쇼와 루마필름 패션쇼가 이어진다 . 자동차 · 건물 선팅에 대한 창업 · 시공상담
부스도 마련된다 . 김우화 루마코리아 대표이사는 “ 루마썬팅이 1 회 오토살롱부터 참가하고 있는데 , 올 때마다 새로움을 느낀다 ” 고 소감을 말했다 ."
45,루마썬팅 뉴PPF필름 교육 기사 안내,2016.04.06,7230,
44,"미오림 설립  10주년 기념 행사 -2013.10.11일자 브레이크 뉴스,GBN경북 방송 기사",2013.10.16,13420,"이날 행사는 문경시 마성면 외어리에 위치한 ""사회복지법인 미오림복지재단""이   2013년 10월 10일 미오림복지재단 복지시설 잔디광장에서 재단법인 산하 직원 및 가족 200여명이 참석한 가운데 법인설립 10주년 기념 ‘미오림 가족의 밤’ 행사를 가졌다. 본 행사는 ‘문경사랑 10년 따뜻하고 행복한 미오림 가족’이란 주제로미오림복지재단 10주년 회고 및 평가회와 그동안 수고한 관계자 및 직원들의 노고를 치하하고 가족간의 화합을 도모하기 위해 마련됐다. 특히 김우화 미오림복지재단 이사장은 그동안 미오림 복지재단의 발전에 많은 도움을 준 문경시에 감사드리며, 지역인재 양성에 써 달라며 2천만원의 장학기금을 문경시장학회에 전달했다. 이에 고윤환 문경시장은 어려운 환경에서도 지역사회 복지서비스 향상에 애쓰고 있는 미오림복지법인에 감사드리며, 이번 행사를 계기로 복지시설에 대한 이미지 제고와 행정기관과 시설이 더불어 함께하는 사회분위기를 조성하고, 복지사회 구현에 앞장섬으로써 더불어 살아가는 살기좋은 복지문경을 건설할 수 있을 것이라고 강조하며, 장학금을 기부해 주신데 대해 깊은 감사의 뜻을 전했다. 2013.10.11 브레이크 뉴스  김형만 기자  원본 기사 보기: 브레이크대구경북 GBN 경북 방송 김동현 기자"
43,골프 헤럴드 2013년 9월호  루마 버텍스 전면 광고,2013.09.11,11434,
42,"홈플러스, 브랜드 기프트카드 4종 추가 런칭-2013년 8월5일 아시아 경제 신문",2013.09.06,19152,"[아시아경제 이초희 기자]홈플러스가 브랜드 기프트카드 4종을 추가로 선보인다고 5일 밝혔다. 홈플러스는 지난 해 10월부터 국내 대형마트 최초로 타사 브랜드 기프트카드를 판매하고 있다. 카드 구매 시 판매금액을 충전하는 POSA 방식을 도입해 게임, 외식, 커피, 영화 등 브랜드 기프트카드를 선보이고 있으며   이번에 틴캐시, 아웃백, 미투디스크, SKT국제전화카드 등 총 4종을 추가로 판매한다. 권종은 브랜드마다 차이가 있으나 최소 5천 원권부터 15만 원권까지 다양하다. 단, SKT국제전화카드는 서울, 경기, 인천 소재 점포에서만 판매된다. http://www.asiae.co.kr/news/view.htm?idxno=2013080505550317134"
41,제17회 루마썬팅배 KPGA시니어 선주권 대회- 골프 헤럴드 2013년7월호,2013.09.06,11201,제17회 루마썬팅배 KPGA시니어 선주권 대회 (2013년 6월26~27일  무능산cc) 골프 헤럴드 2013년 7월 기사 시니어 부분 김종덕 프로우승/ 그랜드 시니어 부분 문춘복 프로 우승.
40,루마 썬팅제 178회  KPGA 골프 조인식 소식- 아시아 경제 2013년 3월29일 신문,2013.09.06,11185,"㈜씨피에프 루마코리아가 KPGA시니어선수권의 공식 타이틀스폰서를 맡았다 . 한국프로골프협회(KPGA)는 28일 일산 킨텍스에서 조인식을 갖고 오는 6월26일부터 이틀간 전남 화순 무등산골프장에서 루마썬팅배 KPGA시니어선수권을 개최한다고 전했다. 총상금 1억3000만원 규모다. 김우화 루마코리아 회장(사진 왼쪽에서 세번째)은 ""KPGA의 가장 권위있는 시니어대회를 후원하게 돼 영광""이라며 ""물심양면 지원을 아끼지 않겠다""고 했다. J골프 에서 전 라운드를 생중계한다. 아시아 경제- 골프팀 손은정 기자"
39,"스포츠 조선, 머니투데이  루마썬팅 2013년 오토모티브위크 참가 기사",2013.09.02,11143,"2013 서울 모터쇼 개막 이틀째인 30일, 이와 동시에 개최되고 있는 오토모티브위크 애프터마켓특별관에 자리한 모터스포츠 특별관(주관 지피코리아)이 관람객 인파로 가득차 문전성시를 이뤘다. 모터스포츠 특별관에는 완성차 부스에선 볼 수 없는 슈퍼GT카와 레이싱카 등 모터스포츠 차량 총 15대와 함께 모터스포츠 관련 분위기를 뿜어내며 스피드 마니아 관람객의 눈길을 사로잡았다. 관람객들은 레이싱 모델과 함께 사진촬영을 하고 카트와 레이싱카를 직접 타보기도 하면서 즐거운 시간을 보내는가 하면 인제오토피아의 김동은 선수 팬사인회에 많은 팬들이 사인을 받기 위해 길게 줄지어서는 진풍경을 만들기도 했다. -스초츠 조선 루마썬팅필름은 오는 3월 28일부터 31일까지 고양킨텍스에서 진행되는 자동차 애프터마켓 전문 전시회 ‘2013 오토모티브위크 (Automotive Week 2013)'에 참가해 자동차 전문 썬팅 신제품 및 건축용 필름, PPF(Paint Protection Film)등을 선보일 예정이다. 루마썬팅은 세계최고의 필름 제조사인 미국 솔루시아 사로부터 공급받은 브랜드로서, 국내에서도 널리 알리 알려진 썬팅 필름브랜드로 알려져 있다. 루마썬팅필름은 이번 전시회를 통해, 미국 본사로부터 한국독점공급인증을 받은 4종 신제품 (버텍스, 라티튜드, 시리우스, 아티젠)을 홍보함과 동시에 , 병행 및 가품 소비자 피해 사례에 대해서도 소비자에게 알릴 계획이다. 루마썬팅 관계자는 “지난해 정품확인이 확실한 한국 독점공급브랜드가 입고됨으로써, 제픔에 대한 소비자들의 신뢰도 상승할 것이며, 보다 합리적인 가격에 다양한 제품을 국내 소비자들이 접할 수 있도록 전시회에 다양한 제품을 선보이고자 한다”고 전했다. 루마썬팅은 오토모티브위크를 통해 주력 제품인 4종 제품 이외에도, 3월 런칭 예정인 건축용필름을 홍보할 예정이며 레이싱 전용필름, 여성운전자를 위한 썬팅 필름도 선보일 예정이다. 이밖에 페인트 프로텍션 필름, 차량용 유리막 발수코팅제인 쉴드런도 함께 전시한다. 특히 이번 전시회에서는 업계최초로 틴팅 맞춤 코디네이터 제도가 소개될 예정이어서, 발표내용에도 관심이 집중되고 있다. 한편 루마썬팅은 제품홍보 이외에도 틴팅대회 국내대회 예비 선발전인 ‘루마코리아 틴트오프 수도권’을 개최할 예정이며, 레이싱 모델 출사 대회, 프로야구 롯데자이언츠 치어리더 팀 박기량 김연정 공연, 경품행사 등으로 참가자들의 눈과 귀를 모을 것으로 보인다. - 머니 투데이 *자세한 사항은 루마 홈페이지에서 확인 하세요"
38,"YTN뉴스,연합 뉴스, 아주경제 신문 루마 짝퉁 필름 유통시킨 업자 검거 기사입니다.",2013.09.02,11497,"대전 둔산 경찰서는 가짜 루마썬팅필름을 제조하여 대전, 대구, 광주등 전국 자동차용품점에 유통시 킨 일당들을 붙잡아 상표법 위반행위로 구속시켰습니다. 이들은 지난 2월부터 자동차용품점들에 품 질이 현저히 떨어지는 저가제품을 루마 정품으로 둔갑시켜 475롤, 1억 4천여만원 상당의 짝퉁필름 을 유통시켰습니다. 이들 일당중에는 폭력조직중 일부가 개입되 었으며 가짜 필름지에 루마상표를 마 킹한 임모씨, 가짜 포장박스를 제조한 유모씨, 품질보증서를 허 위로 위조한 박모씨등 각자 역할을 분 담하여 조직적으로 이루어진 것으로 밝혀졌습니다. 경찰은 현재 짝퉁을 제조하는데 결정적인 역할을 한 관련업자를 추적하고 있습니다. 소비자들께서는 이러한 점을 인지하시어 반드시 루마 정품을 믿고 시공할 수 있는 루마의 공식시공 점에 가셔서 시공을 하시길 바랍니다. (루마 공식시공점 확인 : 홈페이지 www.llumar.co.kr ) 소비자들께서는 가짜 필름에 더욱 주의하셔야 하겠습니다.~"
37,[인터뷰기사] 루마코리아 김우화 대표이사의 한국경제 인터뷰 2013.3.26,2013.09.02,11424,"인터뷰 내용 제목 ; 짝퉁 막으려 신재품(버텍스) 냈다! 최근 루마(LLumar) 짝퉁 필름을 제조해 유통시키는 불법 업자들이 기승을 부리고 있습니다. 소비자들이 피해를 입지 않으려면 공식 시공점애서 시공한뒤 전자 품질 보증서를 발급 받아야 합니다. 지난 15일 서울 용답동에 있는 루마 필름(주-씨피에프)에서 만난 김우화 사장은 ""루마 짝퉁을 제품의 식별이 필요한 시점"" 이라며 이같이 강조 했다. 루마 필름은 수입차 고객들이 주로 이용하는 자동차 썬팅지다. 기성 세대보다는 주로20~30대 젊은층 사이에서 인기가 높다. 시공가격은 40만~100만원대로 프리미엄 제품에 속한다. 짝퉁은 시간이 지나면 탈색 자외선 차단 기능도 떨어져 전자 품질 보증서 꼭 챙겨야"
36,[나눔경영실천뉴스] 김우화 대표 한국재능나눔대상 수상소식,2012.12.22,13860,"봉사와 사랑으로 나눔경영을 실천하는 CEO 들이 뭉쳤다 ! ( 주 ) 씨피에프 루마썬팅필름 김우화 대표 한국재능나눔봉사대상 수상 - ""자본주의 4.0 시대 이끌어 가는 기업이 될 것"" 수상 소감 발표 2012 년 한해의 가장 큰 화두였던 대선이 박근혜 후보가 당선으로 마무리되었다 . 박근혜 후보는 첫 여성 대통령으로서 , 국정을 맡기에 앞서 국민대통합과 민생경제회복을 최우선 과제로 삼고 있다 . 이런 그녀의 비전은 이전 정부들이 높은 경제 성장률을 기본으로 한 정책을 최우선으로 삼았다는 점과 확연히 다르다는 것을 발견할 수 있다 . 그녀의 정책은 국가보다 개인의 복지와 교육 육아 문제 등 삶의 질과 관련된 문제들이 세세하게 다루어져 있어 이전 정부와의 차별화된 행보를 보일 것으로 보인다 . 박 당선인은 20 일 첫 기자회견에서도 민생에 대한 강조는 빠지지 않았다 . 박 당선인은 그 일환으로 제 2 의 ‘ 잘살아보세 ’ 신화 구현을 들고 나왔다 , 박 당선인의 경제 브레인으로 꼽히는 강석훈 의원은 “ 단순히 예전처럼 가난에서 벗어나자는 의미가 아니라 침체에 빠진 경제를 살려 공약의 중산층 70% 를 복원하고 공정한 시장경제를 만들자는 뜻 ” 이라며 “ 과거 개발 시대의 일단 성장하고 , 돈을 벌자는 의미에서 공정경쟁 , 성장 , 복지 등이 함께 가자는 패러다임 ” 이라고 설명했다 . 박 당선인은 “ 국민 모두가 먹고 사는 것을 걱정하지 않고 , 청년들이 즐겁게 출근하는 모습을 볼 수 있으며 , 추운 겨울에 따뜻하고 편안한 잠자리에 드실 수 있도록 ” 이라는 문구로 실제 생활의 모습을 구체화 시켰다 , 박 당선인은 그러면서 “ 그것이야말로 진정한 국민 대통합이고 , 경제민주화이고 , 국민행복 ” 이라고 강조했다 . 박 당선인의 경제공약을 총괄한 김종인 국민행복추진위원장도 이날 CBS 라디오에 출연 , 국민통합의 대책을 묻는 질문에 “ 양극화 문제를 해결하면 상당부분 자동적으로 해결할 수 있을 것 ” 이라고 민생에 방점을 뒀다 . 이러한 정책 아젠다 설정 배경에는 즉 , 따뜻한 자본주의를 실천하는 사회적 기업의 역할이 강조하는 아나톨 칼레츠키 박사의 이론이 존재한다 . 양극화 해소와 기업의 사회적 책임 , 민생과 복지 등을 강조하는 박 당선인의 정책은 상당부분 과 일치하는 부분이 있어 이 이론은 앞으로 국정 운영의 방향에 반영될 것으로 보인다 . 하지만 그녀의 당선에 앞서 의 시대를 예견하고 우리사회에도 나눔을 실천하는 기업이 있었다 . 그 기업은 다름 아닌 사회복지재단 미오림복지재단을 통해 우리 사회의 소외된 이웃을 돕기 위해 적극 나선 기업 . 주식회사 씨피에프 , 루마썬팅 필름이다 . 루마썬팅은 이미 윈도우 필름의 대명사로서 , 이미 광고와 가까운 매장 등에서 소비자들과 만나고 있어 더욱 친근하다 , 지금과 같은 경기 불황 속에서 경영만으로 쉽지 않은 현실에서 , 나눔의 현장에 직접 참여해 타 기업들의 모범이 되고 있는 것에는 더한 말이 필요가 있을까 . 더욱이 루마썬팅 필름이 꾸준한 기부의 결과로 지난 20 일 한국 재능나눔대상에 선정되었다는 훈훈한 소식도 들린다 . 따뜻한 소식이 전해지는 그 현장으로 달려가 보자 ! [ 나눔 경영 실천 뉴스 ] 루마썬팅필름 , "" 기부로 소외층에 희망 북돋워 "" 2012 봉사와 사랑으로 따뜻한 세상 만들기에 앞장서온 기업인을 위한 한마당인 이 미래지식 경영원 주관 , 한국재능기부협회 후원으로 지난 20 일 1 시 30 분 프리마호텔 다이아몬드 홀에서 열렸다 . 이날 행사에는 중소기업의 일원으로서 사회적 나눔을 실천하는 경영인인 104 명의 재능나눔 대상자가 선정되어 추운 날씨에도 훈훈한 사랑의 정신을 전했다 . 특히 , 이번 시상식에 ( 주 ) 씨피에프 루마썬팅 필름 김우화 대표가 선정되어 주목을 받았다 . 루마썬팅은 썬팅업계의 우수기업으로서 20 년 간 훌륭한 경영적 성과를 거둔 것 못지않게 , 미오림 복지재단을 통해 사회적 약자인 노인과 장애인들을 돕는 사회적 기업으로서의 정신을 실천해 온 것을 인정받아 이번 수상의 영예를 안게 되었다 . 행사에는 정운찬 전 총리가 명예이사장으로 수상자에게 직접 상을 전달했으며 격려사를 통해 “ 가슴이 훈훈하고 따뜻한 날이다 . 오늘 사회의 빛과 소금이 되시는 여러분이 이 자리에 있기 때문 ” 이라며 “ 여러분의 사랑의 실천에 감사드리고 이 자리에 있는 분들이 아름다운 나눔과 봉사를 실천하는 분들로 수상의 영예를 안으신 것에 대해 진심으로 축하드린다 .” 고 축하의 뜻을 전해 수상의 의미를 더했다 ."
35,"루마 문경점 최재성,아시아퍼시픽 틴트오프 챔프 등극 [자동차 신문]",2012.12.15,11643,"기사 보기 링크 -> http://www.atweekly.com/news/articleView.html?idxno=23189 루마 문경점 최재성, 아시아퍼시픽 틴트오프 챔프 등극 [883호] 2012년 12월 13일 (목) 16:34:37 장병록 기자 byoroc@hanmail.net 루마코리아는 지난달 29일 인도네시아 자카르타 G1 엑스홀 컨벤션센터에서 열린 2012 루마 아시아퍼시픽 틴트오프에서 자사 문경점 최재성이 슈퍼틴터에 올랐다고 밝혔다. 지난 2011년 중국 선전대회에서 대구 리무진점 구석회 명장이 선전을 펼치고도 홈 텃세에 밀려 아쉽게 3위에 머무른 것을 설욕 했을 뿐 아니라 아시아태평양을 넘어 전 세계에 대한민국 루마 틴터들의 실력을 유감없이 보여준 계기를 마련했다. 이날 대회는 참가 10개국에서 총 11명의 틴터들이 출전하여 경연을 벌였으며 한국대표 문경점 최재성은 대회 직전 실시한 제비뽑기를 통해 6번 BMW 5시리즈 흰색 차량이 배정됐다. 많은 갤러리들이 운집한 이날 대회 현장은 한국 대표 최재성에게 이목이 집중됐다. 그 이유는 이미 지난 대회에서 대구 리무진점 구석회 명장이 수준 높은 실력을 발휘하며 많은 관심을 불러 일으켰기 때문이다. 이번 대회에서 슈퍼틴터로 등극한 최재성은 우승트로피와 메달 그리고 우승 상금 3천 달러를 받았다. 슈퍼틴터 최재성은 “우승을 하는데 큰 역할을 해준 구석회 명장을 비롯하여 자비를 들여가며 현지까지 찾아와 응원을 보내준 상주점 이재득 대표에게 감사를 드린다”고 전하면서 “대회가 진행되는 시간 내에 뜨거운 관심과 성원을 보여준 루마 점주들에게도 깊은 감사를 드린다”고 말했다."
34,"Premium 루마썬팅 국내 1호점, 프리미엄 수원점 김동배 대표를 만나다 . [카&모델]",2012.11.13,12385,"Premium 루마썬팅 국내 1호점, 프리미엄 수원점 김동배 대표를 만나다 . ‘프리미엄 PREMIUM’이라는 단어는 이제는 그리 특별하다 말할 수 없는 흔한 표현이 돼버리고 말았다. 사람들은 좀 더 높은, 고급스러운, 차별화된 대체어를 갈구하며, 어쩌면 이미 충분한 의미를 가진 그 단어들에 인색해지고 있는 것 같아 안타깝다. 알맹이는 똑같은데 이름만 점점 난해해지고 있으니 말이다. 이런 세상에서 ‘프리미엄’의 의미에 충실하지만, 왠지 ‘프리미엄’이라는 단어로는 부족해 보이는 정말 프리미엄한 썬팅 매장이 세상에 선보였으니, 그곳이 바로 루마썬팅 프리미엄 수원점이다. “국내에 단 두 곳뿐, 그 둘 가운데서도 확연히 돋보이는 1호점” 루마썬팅의 “프리미엄”이라는 칭호는 매장의 시공능력과 더불어 일정 규모 이상의 시설을 갖추어야지만 부여받을 수 있다. 보통의 영세한 매장이나 일반적인 시공점에서는 감히 시도하기 어려운 규모를 자랑하고 있는 것이다. 특히 프리미엄 수원점은 1호점으로서 그 의미가 큰데, 뒤이어 강남구 삼성동에 만들어진 2호점이 있긴 하나 형만 한 아우가 없다는 느낌을 지우기 힘들 정도로 1호점의 완성도와 스펙은 높다고 하겠다. 김동배 대표는 기존에 루마썬팅 일반시공점을 운영해오다가 좀 더 고급화된 시설과 차별화된 시공서비스를 제공해야겠다는 목표로 프리미엄 시공점을 개설하기에 이르렀다. 그의 목표와 철학이 반영된 시공점에는 완벽한 시공을 위한 청정룸이 별도로 마련되어있다. 완벽한 습도제어와 더스트 컨트롤, 배수시설까지 갖추고 까다로운 고객들마저 혀를 내두르고 갈 정도의 시공퀄리티를 자랑하고 있다. 특히 루마썬팅 프리미엄점이 다른 일반 시공점과 다른 또 하나의 이유는 바로 최상급 필름을 시공받을 수 있다는 점이다. 우리에게는 그 이름도 낯선 Tundra 와 같은 필름은 루마썬팅 프리미엄 시공점에서만 시공받을 수 있는 필름이다. 즉 가까운 동네 루마썬팅에서는 만날 수 없다. 물론 가격도 높지만, 필름의 스펙 또한 상상을 초월한다. 그야말로 몰라서 시공을 못하는 사람들이 많았겠지만 열차단 효율을 가장 중요하게 생각하는 오너라면 Tundra를 경험해 볼 필요가 있다. Tundra는 필름 특성상 시공이 까다롭다. 때문에 까다롭게 관리되는 환경에서 제대로 시공될 수 있다. 루마썬팅 본사가 프리미엄 시공점에만 Tundra 를 공급하는 이유이기도 하다. “오직 고객의 만족을 위해 준비된 모든 것” 프리미엄 수원점의 구석구석을 살펴보면 단순한 디스플레이나 Show를 위해 만들어진 것들은 거의 찾아볼 수 없다. 심지어 아무렇지 않게 놓인 것 같은 화분 하나도 고객의 기분까지 생각한 허브다. 최근에 개설되는 많은 썬팅 시공점들이 개성있고 미적인 아름다움을 추구하고 있으나 그것이 단순히 “보기 좋은 것”인지 “고객에게 도움되는 것”인지는 한 번 짚어볼 필요가 있다. 화려하지 않더라도 그 목적이 실용적이라면 의미가 있기 때문이다. 고객대기실 앞에 작은 바구니가 놓여있다. 이 바구니 안에는 고객을 위한 슬리퍼가 마련되어있다. 공용 슬리퍼가 아니라 특급호텔 등에서나 볼 수 있는 일회용 슬리퍼이다. 신발을 벗고 이용하게 되어있는데 위생적으로 일회용 슬리퍼를 준비해둔 것이다. 대한민국 어느 썬팅시공점에서도 찾아볼 수 없는 고객에 대한 철저한 준비이다. 고객대기실 안에는 대형 평면 TV와 편안한 가죽 소파가 놓여있고 다양한 잡지가 준비되어있어 자칫 지루할 수 있는 기다림을 신경 쓴 흔적이다. 또 한 번의 놀라움은 냉장고에서 벌어졌다. 보통 여러 가지 소다음료와 주스 정도가 준비되어있다고 해도 평균 이상의 점수를 받을 수 있을 텐데, 프리미엄 수원점의 냉장고에는 와인과 맥주를 비롯하여 홍초 등 역시 다른 시공점에서 찾아보기 힘든 음료와 주류까지 준비되어있다. 고객의 다양한 취향을 베려한 김동배 대표의 섬세함이 엿보이는 대목이다. 뜨거운 여름 시원한 맥주 한잔으로 더위를 날리며 열차단 필름이 시공된 차량을 타고 시공점을 나서는 기분은 상상만으로도 즐겁다. 김동배 대표는 시공전에 자세하고 친절한 상담으로도 유명하다. 오토탑99의 수원지역 우수시공기술자로 선정되기도 한 그는 고객들에게 충분한 설명으로 그들이 올바르고 후회없는 선택을 하도록 돕는 것이 필요하다고 말한다. 아직 자동차썬팅에 대한 일반 소비자들의 인식수준이 충분하지 않기 때문에 정확한 이해를 바탕으로 본인에게 필요한 제품을 선택해야 한다는 것이다. 시작부터 끝까지 고객을 위한 정성으로 모든 것을 준비하는 김동배 대표에게 나도 시공 받고 싶다. 문의 / 루마썬팅 프리미엄 수원점 031-202-5331 월간 카앤모델 (www.carnmodel.com) copyrightⓒ Car&Model. 무단전재 & 재배포 금지 단, 비영리적 목적으로 출처 표기 후 배포 가능 카앤모델 뉴스팀 photo@carnmodel.com"
33,"최재성 틴터, `2012 루마 틴트오프`에 한국 대표로 출전 [한경닷컴]",2012.11.13,11547,"최재성 틴터, `2012 루마 틴트오프`에 한국 대표로 출전 한경닷컴 및 차바이오 앤 디오스텍이 후원하는 '2012 루마 코리아 썬팅 콘테스트'가 10일 오후 서울 반포동 토요타 서초전시장에서 열렸다. 우승을 차지한 최재성 틴터가 시공 을 하고 있다. 전국 에서 예선을 거친 틴터 6명이 출전해 2시간 30분 동안 프리미엄 버텍스 필름을 뉴캠리 차량에 시공하여 실력을 겨루는 방식으로 진행된 이날 콘테스트에서 문경점의 최재성 틴터가 우승을 차지했다. 최재성 틴터는 오는 29일 인도네시아 자카르타에서 열리는 아시아-태평양 루마틴트 오프에 한국 대표 자격으로 참가하게 된다. 2012 루마 틴트오프(2012 Tint-off)는 개최국 인도네시아를 비롯해 호주, 태국, 대한민국 , 중국 등 10개국에서 참가하는 국제 썬팅 경연대회다. 한경닷컴 변성현 기자 byun84@hankyung.com 기사제보 및 보도자료 newsinfo@hankyung.com"
32,K7 수출형 모델 카덴자에 루마썬팅 시공되어~(조세일보 기사),2012.11.08,11600,"K7의 수출형 모델인 카덴자는 지난 2011년부터 북미지역에 본격 수출되었는데 2년만에 새로운 모습으로 북미시장을 공략할 예정 이며, 카덴자에는 발수코팅과 루마썬팅을 시공하여 햇빛 차단기능을 강화하였습니다. 수출형 모델에 루마썬팅이 장착되어 루마썬팅의 우수성을 맘껏 뽐내는 카덴자가 북미지역 소비자들을 얼마나 사로잡을지 기대를 모으게 하네요...^^ (아래 기사 링크를 클릭하여 관련기사를 확인하세요~) 관련기사 링크 : http://www.joseilbo.com/news/htmls/2012/11/20121105159391.html"
